marca*,modelo,version,año**,precio,foto-agencia,id,kilometros,tipoCambio,zona,lat,long,cliente,tipoDeVenta
alfa romeo,146,2.0 TI,1997,1390000,https://api.deconcesionarias.com.ar/api/files/4ad2b2be-81d6-4261-8c1d-bca72cb17056/?4ad2b2be-81d6-4261-8c1d-bca72cb17056.JPG,b624b7b9-0667-4401-bd14-16791f39f561,100000,ARS,,,,RPM Moviles,Usado
alfa romeo,159,3.2 JTS HIGHT 4X4 ELEGANTE AUT,2010,12989000,https://api.deconcesionarias.com.ar/api/files/20b2b3ae-7309-4793-809e-279f0f99c040/?20b2b3ae-7309-4793-809e-279f0f99c040.jpg,0826086f-d9ad-4a71-a833-f52f04332b00,2458,USD,"ACASSUSO,Av Libertador,14745","-34,4773085","-58,4968158",Munafo virtual,Usado
audi,a1 sportback,A1 1.2T ATTRACTION,2013,10782760,https://api.deconcesionarias.com.ar/api/files/28d36d6e-8155-40da-8c1a-975803881227/?28d36d6e-8155-40da-8c1a-975803881227.jpg,0ca6000a-d975-499a-bff6-fb4bd637281f,0,ARS,"RETIRO,San Mar,1100","-34,5951836","-58,3745734",Honor Dealers Sur,Usado
audi,a1 sportback,A1 1.4T AMBITION,2012,3999000,https://api.deconcesionarias.com.ar/api/files/690865e4-b645-4615-b35e-6caedfd6fe0f/?690865e4-b645-4615-b35e-6caedfd6fe0f.jpg,d6ac50a9-8377-4b2d-bcf8-8d50d4be9782,105000,USD,"1 DE AGOSTO,Av. Cervantes,3879","-34,7091154","-58,2255629",Espositoautomotores,Usado
audi,a1 sportback,A1 1.4T AMBITION,2015,6479000,https://api.deconcesionarias.com.ar/api/files/72fee1f6-17dd-44ff-b56f-070717771b98/?72fee1f6-17dd-44ff-b56f-070717771b98.jpg,5d8521ec-b054-43d7-9046-3056a037b9b6,73705,USD,"ACASSUSO,Av Libertador,14745","-34,4773085","-58,4968158",Munafo virtual,Usado
audi,a1 sportback,A1 1.4T AMBITION STRONIC,2013,12750000,https://api.deconcesionarias.com.ar/api/files/89da8625-ef40-4624-a26f-c5ef1919965c/?89da8625-ef40-4624-a26f-c5ef1919965c.jpg,e9e52c8a-52ed-4793-8974-076609724af5,275001,ARS,"RETIRO,San Mar,1100","-34,5951836","-58,3745734",Honor Dealers Sur,Usado
audi,a1 sportback,A1 1.4T AMBITION STRONIC,2016,6300000,https://api.deconcesionarias.com.ar/api/files/474faa9e-b28c-49d8-aa62-632bbd96aacd/?474faa9e-b28c-49d8-aa62-632bbd96aacd.jpg,b7c8e0ae-de91-4239-8cf2-d3f6ddc5e605,99000,ARS,"VILLA MERCEDES,Av 25 de Mayo,1984","-33,6550691","-65,4632764",Automotores de Cuyo,Usado
audi,a1 sportback,A1 1.4T AMBITION STRONIC,2018,8029000,https://api.deconcesionarias.com.ar/api/files/4b68cb38-dcf9-40f7-81db-314bd3a6c5ec/?4b68cb38-dcf9-40f7-81db-314bd3a6c5ec.jpg,58957d75-04b0-431b-94b5-b917671c3d4e,33118,USD,"ACASSUSO,Av Libertador,14745","-34,4773085","-58,4968158",Munafo virtual,Usado
audi,a1 sportback,A1 1.4T SPORTBACK AMBITION,2014,5735000,https://api.deconcesionarias.com.ar/api/files/102c0eb1-2b3a-49fe-af8b-98dbfc518676/?102c0eb1-2b3a-49fe-af8b-98dbfc518676.jpg,8ba496d3-bedb-4cf7-b37d-40aaefdff8bb,49549,USD,"ACASSUSO,Av Libertador,14745","-34,4773085","-58,4968158",Munafo virtual,Usado
audi,a3,1.4T FSI L/13,2016,6789000,https://api.deconcesionarias.com.ar/api/files/80f02ab9-17c0-4b92-abfe-4b7d916c7684/?80f02ab9-17c0-4b92-abfe-4b7d916c7684.jpg,5d742388-8480-4c0f-972d-9766fc93248c,87825,USD,"ACASSUSO,Av Libertador,14745","-34,4773085","-58,4968158",Munafo virtual,Usado
